date,year,month,region,product,channel,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,Net_Profit_Margin
2024-01-01,2024,1,Europe,Footwear,Direct Sales,0.8,1.0457,1.0097,1.0017,0.5531,0.6767,0,49778.0,55.3,2752610.85,1239913.56,1512697.29,275261.08,550522.17,686914.04,1530.61,685383.42,571.43,157506.76,527305.24,0.19156548772595297
2024-01-01,2024,1,Europe,Accessories,Direct Sales,0.8,1.0457,1.0097,1.0017,0.5717,0.685,0,24710.0,31.86,787342.55,354658.45,432684.1,78734.26,157468.51,196481.33,1530.61,194950.72,571.43,44707.24,149672.06,0.190097766213702
2024-01-01,2024,1,Europe,Home & Living,Direct Sales,0.8,1.0457,1.0097,1.0017,0.4185,0.6215,0,28062.0,36.15,1014545.61,457002.07,557543.54,101454.56,202909.12,253179.86,1530.61,251649.25,571.43,57747.9,193329.92,0.19055813567612798
2024-01-01,2024,1,Europe,Beauty & Health,Direct Sales,0.8,1.0457,1.0097,1.0017,0.239,0.5581,0,24771.0,52.36,1297085.75,584272.27,712813.47,129708.57,259417.15,323687.75,1530.61,322157.14,571.43,73964.71,247620.99,0.1909056436708213
2024-01-01,2024,1,Northeast US,Enterprise,Direct Sales,0.8,1.0457,0.9867,1.0017,0.142,0.528,0,42846.0,37.96,1626492.4,732653.5,893838.9,162649.24,325298.48,405891.18,1530.61,404360.57,571.43,92871.5,310917.64,0.1911583724584265
2024-01-01,2024,1,Northeast US,Pro Plan,Direct Sales,0.8,1.0457,0.9867,1.0017,0.225,0.5536,0,27750.0,58.77,1630992.78,734680.7,896312.08,163099.28,326198.56,407014.25,1530.61,405483.64,571.43,93129.81,311782.4,0.1911611159921873
2024-01-01,2024,1,Northeast US,Apparel,Direct Sales,0.8,1.0457,0.9867,1.0017,0.2293,0.555,0,52647.0,41.03,2159913.49,972933.03,1186980.46,215991.35,431982.7,539006.41,1530.61,537475.8,571.43,123488.01,413416.37,0.1914041335053655
2024-01-01,2024,1,Northeast US,Footwear,Direct Sales,0.8,1.0457,0.9867,1.0017,0.1069,0.5177,0,38080.0,64.17,2443633.14,1100734.55,1342898.59,244363.31,488726.63,609808.65,1530.61,608278.04,571.43,139772.52,467934.09,0.19149113765906775
2024-01-01,2024,1,Northeast US,Accessories,Direct Sales,0.8,1.0457,0.9867,1.0017,0.093,0.5137,0,18531.0,37.39,692823.03,312082.13,380740.89,69282.3,138564.61,172893.99,1530.61,171363.37,571.43,39282.15,131509.8,0.18981730442765446
2024-01-01,2024,1,Northeast US,Home & Living,Direct Sales,0.8,1.0457,0.9867,1.0017,0.2911,0.5755,0,25982.0,37.73,980410.63,441625.97,538784.66,98041.06,196082.13,244661.47,1530.61,243130.86,571.43,55788.67,186770.76,0.1905025856359799
2024-01-01,2024,1,Northeast US,Beauty & Health,Direct Sales,0.8,1.0457,0.9867,1.0017,0.389,0.6104,0,27089.0,49.82,1349685.57,607965.86,741719.7,134968.56,269937.11,336814.03,1530.61,335283.42,571.43,76983.76,257728.23,0.1909542753724484
2024-01-01,2024,1,Southeast US,Enterprise,Direct Sales,0.8,1.0457,0.981,1.0017,0.2278,0.5545,0,45000.0,36.94,1662345.07,748803.34,913541.73,166234.51,332469.01,414838.21,1530.61,413307.6,571.43,94929.32,317806.85,0.1911798312729378
2024-01-01,2024,1,Southeast US,Pro Plan,Direct Sales,0.8,1.0457,0.981,1.0017,0.0982,0.5152,0,25824.0,61.17,1579672.94,711563.67,868109.26,157967.29,315934.59,394207.38,1530.61,392676.77,571.43,90184.23,301921.11,0.19112887380345958
2024-01-01,2024,1,Southeast US,Apparel,Direct Sales,0.8,1.0457,0.981,1.0017,0.1394,0.5272,0,50011.0,42.21,2111157.49,950970.89,1160186.6,211115.75,422231.5,526839.35,1530.61,525308.74,571.43,120689.58,404047.73,0.19138682543290503
2024-01-01,2024,1,Southeast US,Footwear,Direct Sales,0.8,1.0457,0.981,1.0017,0.0197,0.4934,0,36296.0,65.91,2392063.13,1077504.84,1314558.29,239206.31,478412.63,596939.35,1530.61,595408.74,571.43,136812.58,458024.73,0.19147685705100936
2024-01-01,2024,1,Southeast US,Accessories,Direct Sales,0.8,1.0457,0.981,1.0017,0.2891,0.5748,0,20734.0,35.13,728295.21,328060.58,400234.63,72829.52,145659.04,181746.07,1530.61,180215.46,571.43,41318.13,138325.9,0.18993108577495657
2024-01-01,2024,1,Southeast US,Home & Living,Direct Sales,0.8,1.0457,0.981,1.0017,0.1192,0.5212,0,23535.0,39.87,938230.99,422626.15,515604.84,93823.1,187646.2,234135.54,1530.61,232604.93,571.43,53367.71,178665.8,0.19042837201529655
2024-01-01,2024,1,Southeast US,Beauty & Health,Direct Sales,0.8,1.0457,0.981,1.0017,0.2139,0.5501,0,24414.0,52.79,1288735.57,580510.94,708224.64,128873.56,257747.11,321603.96,1530.61,320073.35,571.43,73485.44,246016.48,0.19089756326039795
2024-01-01,2024,1,Midwest US,Enterprise,Direct Sales,0.8,1.0457,0.9852,1.0017,0.2751,0.5701,0,46263.0,36.38,1682912.28,758067.84,924844.45,168291.23,336582.46,419970.76,1530.61,418440.15,571.43,96109.81,321758.91,0.1911917298505897
2024-01-01,2024,1,Midwest US,Pro Plan,Direct Sales,0.8,1.0457,0.9852,1.0017,0.2472,0.5608,0,28112.0,58.35,1640400.89,738918.58,901482.31,164040.09,328080.18,409362.04,1530.61,407831.43,571.43,93669.8,313590.2,0.1911668067919666
2024-01-01,2024,1,Midwest US,Apparel,Direct Sales,0.8,1.0457,0.9852,1.0017,0.1504,0.5305,0,50322.0,42.07,2116989.05,953597.72,1163391.33,211698.91,423397.81,528294.62,1530.61,526764.01,571.43,121024.29,405168.28,0.19138893514824748
2024-01-01,2024,1,Midwest US,Footwear,Direct Sales,0.8,1.0457,0.9852,1.0017,0.2723,0.5691,0,41862.0,60.88,2548669.48,1148048.17,1400621.31,254866.95,509733.9,636020.47,1530.61,634489.86,571.43,145801.24,488117.19,0.1915184349443381
2024-01-01,2024,1,Midwest US,Accessories,Direct Sales,0.8,1.0457,0.9852,1.0017,0.1017,0.5162,0,18620.0,37.29,694303.44,312748.99,381554.46,69430.34,138860.69,173263.42,1530.61,171732.81,571.43,39367.12,131794.27,0.1898222915329355
2024-01-01,2024,1,Midwest US,Home & Living,Direct Sales,0.8,1.0457,0.9852,1.0017,0.1233,0.5225,0,23590.0,39.81,939202.8,423063.9,516138.9,93920.28,187840.56,234378.06,1530.61,232847.45,571.43,53423.48,178852.53,0.19043014991011525
2024-01-01,2024,1,Midwest US,Beauty & Health,Direct Sales,0.8,1.0457,0.9852,1.0017,0.1816,0.54,0,23965.0,53.33,1278140.33,575738.31,702402.02,127814.03,255628.07,318959.92,1530.61,317429.31,571.43,72877.31,243980.57,0.19088715399505468
2024-01-01,2024,1,West US,Enterprise,Direct Sales,0.8,1.0457,0.9882,1.0017,0.1908,0.5428,0,44052.0,37.38,1646676.58,741745.46,904931.11,164667.66,329335.32,410928.14,1530.61,409397.53,571.43,94030.0,314796.1,0.19117056975450514
2024-01-01,2024,1,West US,Pro Plan,Direct Sales,0.8,1.0457,0.9882,1.0017,0.1693,0.5362,0,26878.0,59.83,1607992.51,724320.23,883672.29,160799.25,321598.5,401274.53,1530.61,399743.92,571.43,91809.67,307362.82,0.19114692269306652
2024-01-01,2024,1,West US,Apparel,Direct Sales,0.8,1.0457,0.9882,1.0017,0.2291,0.5549,0,52643.0,41.03,2159833.75,972897.11,1186936.64,215983.38,431966.75,538986.51,1530.61,537455.9,571.43,123483.43,413401.04,0.19140410228333546
2024-01-01,2024,1,West US,Footwear,Direct Sales,0.8,1.0457,0.9882,1.0017,0.1905,0.5427,0,39922.0,62.51,2495474.07,1124086.3,1371387.78,249547.41,499094.81,622745.55,1530.61,621214.94,571.43,142748.01,477895.51,0.19150489910720653
2024-01-01,2024,1,West US,Accessories,Direct Sales,0.8,1.0457,0.9882,1.0017,0.1446,0.5287,0,19074.0,36.79,701765.38,316110.21,385655.16,70176.54,140353.08,175125.55,1530.61,173594.94,571.43,39795.41,133228.1,0.1898470682609051
2024-01-01,2024,1,West US,Home & Living,Direct Sales,0.8,1.0457,0.9882,1.0017,0.0485,0.5012,0,22631.0,40.74,922052.56,415338.58,506713.98,92205.26,184410.51,230098.22,1530.61,228567.6,571.43,52439.12,175557.06,0.19039810485423952
2024-01-01,2024,1,West US,Beauty & Health,Direct Sales,0.8,1.0457,0.9882,1.0017,0.0736,0.5082,0,22555.0,55.16,1244165.83,560434.5,683731.33,124416.58,248833.17,310481.58,1530.61,308950.97,571.43,70927.29,237452.25,0.1908525730850525
2024-01-01,2024,1,International,Enterprise,Direct Sales,0.8,1.0457,0.8779,1.0017,0.2828,0.5726,0,46472.0,36.29,1686296.68,759592.34,926704.34,168629.67,337259.34,420815.34,1530.61,419284.72,571.43,96304.06,322409.24,0.19119366350172734
2024-01-01,2024,1,International,Pro Plan,Direct Sales,0.8,1.0457,0.8779,1.0017,0.6713,0.7318,0,36680.0,50.34,1846298.16,831665.01,1014633.15,184629.82,369259.63,460743.71,1530.61,459213.09,571.43,105487.58,353154.08,0.19127684122265498
2024-01-01,2024,1,International,Apparel,Direct Sales,0.8,1.0457,0.8779,1.0017,0.0877,0.5122,0,48585.0,42.9,2084199.42,938827.63,1145371.79,208419.94,416839.88,520111.96,1530.61,518581.35,571.43,119142.28,398867.64,0.19137690768573384
2024-01-01,2024,1,International,Footwear,Direct Sales,0.8,1.0457,0.8779,1.0017,0.0835,0.511,0,37588.0,64.64,2429548.07,1094389.93,1335158.14,242954.81,485909.61,606293.72,1530.61,604763.11,571.43,138964.09,465227.59,0.1914872958245276
2024-01-01,2024,1,International,Accessories,Direct Sales,0.8,1.0457,0.8779,1.0017,0.2378,0.5577,0,20120.0,35.72,718624.28,323704.3,394919.97,71862.43,143724.86,179332.69,1530.61,177802.08,571.43,40763.05,136467.6,0.1899011817413127
2024-01-01,2024,1,International,Home & Living,Direct Sales,0.8,1.0457,0.8779,1.0017,0.2246,0.5535,0,24990.0,38.56,963592.23,434050.12,529542.11,96359.22,192718.45,240464.44,1530.61,238933.83,571.43,54823.35,183539.05,0.1904737754060138
2024-01-01,2024,1,International,Beauty & Health,Direct Sales,0.8,1.0457,0.8779,1.0017,0.2521,0.5624,0,24961.0,52.14,1301483.72,586253.34,715230.38,130148.37,260296.74,324785.26,1530.61,323254.65,571.43,74217.14,248466.08,0.19090986401274385
2024-02-01,2024,2,North America,Enterprise,Direct Sales,0.78,0.8783,0.9886,1.0033,0.2259,0.5053,0,41010.0,36.93,1514522.79,685181.44,829341.35,151452.28,302904.56,374984.51,1530.61,373453.9,571.43,85762.97,287119.5,0.1895775368292741
2024-02-01,2024,2,North America,Pro Plan,Direct Sales,0.78,0.8783,0.9886,1.0033,0.1166,0.4749,0,23803.0,60.77,1446478.0,654397.47,792080.53,144647.8,289295.6,358137.13,1530.61,356606.52,571.43,81888.07,274147.02,0.189527265537395
2024-02-01,2024,2,North America,Apparel,Direct Sales,0.78,0.8783,0.9886,1.0033,0.1469,0.483,0,45819.0,42.08,1927965.47,872226.0,1055739.47,192796.55,385593.09,477349.83,1530.61,475819.21,571.43,109306.99,365940.79,0.1898067137063404
2024-02-01,2024,2,North America,Footwear,Direct Sales,0.78,0.8783,0.9886,1.0033,0.2562,0.5143,0,37833.0,61.15,2313434.43,1046615.04,1266819.39,231343.44,462686.89,572789.06,1530.61,571258.45,571.43,131258.01,439429.0,0.18994659814067
2024-02-01,2024,2,North America,Accessories,Direct Sales,0.78,0.8783,0.9886,1.0033,0.4133,0.5652,0,20390.0,33.66,686357.43,310513.24,375844.2,68635.74,137271.49,169936.97,1530.61,168406.35,571.43,38602.03,129232.89,0.18828803237403577
2024-02-01,2024,2,North America,Home & Living,Direct Sales,0.78,0.8783,0.9886,1.0033,0.163,0.4874,0,22008.0,39.29,864658.57,391178.0,473480.56,86465.86,172931.71,214082.99,1530.61,212552.38,571.43,48755.62,163225.33,0.18877431585510104
2024-02-01,2024,2,North America,Beauty & Health,Direct Sales,0.78,0.8783,0.9886,1.0033,0.1562,0.4856,0,21550.0,53.72,1157602.82,523708.17,633894.64,115760.28,231520.56,286613.8,1530.61,285083.18,571.43,65437.7,219074.05,0.18924802722923564
2024-02-01,2024,2,Europe,Enterprise,Direct Sales,0.78,0.8783,1.0106,1.0033,0.3978,0.558,0,45288.0,34.95,1582802.66,714095.19,868707.47,158280.27,316560.53,393866.67,1530.61,392336.06,571.43,90105.86,301658.76,0.190585199041806
2024-02-01,2024,2,Europe,Pro Plan,Direct Sales,0.78,0.8783,1.0106,1.0033,0.0819,0.4643,0,23271.0,61.54,1432034.5,646074.83,785959.67,143203.45,286406.9,356349.32,1530.61,354818.71,571.43,81476.88,272770.41,0.19047754086930166
2024-02-01,2024,2,Europe,Apparel,Direct Sales,0.78,0.8783,1.0106,1.0033,0.3358,0.5374,0,50980.0,39.66,2021644.71,912082.6,1109562.11,202164.47,404328.94,503068.69,1530.61,501538.08,571.43,115222.33,385744.32,0.19080717699402286
2024-02-01,2024,2,Europe,Footwear,Direct Sales,0.78,0.8783,1.0106,1.0033,0.1179,0.4737,0,34842.0,64.01,2230296.97,1006217.88,1224079.08,223029.7,446059.39,554989.99,1530.61,553459.38,571.43,127164.23,425723.72,0.19088207791449402
2024-02-01,2024,2,Europe,Accessories,Direct Sales,0.78,0.8783,1.0106,1.0033,0.2439,0.509,0,18361.0,35.68,655118.36,295562.35,359556.01,65511.84,131023.67,163020.5,1530.61,161489.89,571.43,37011.25,123907.22,0.18913715072799975
2024-02-01,2024,2,Europe,Home & Living,Direct Sales,0.78,0.8783,1.0106,1.0033,0.2362,0.5067,0,22879.0,38.45,879696.26,396882.62,482813.64,87969.63,175939.25,218904.76,1530.61,217374.15,571.43,49864.63,166938.09,0.18976787510725576
2024-02-01,2024,2,Europe,Beauty & Health,Direct Sales,0.78,0.8783,1.0106,1.0033,0.0943,0.4675,0,20747.0,54.86,1138217.57,513516.76,624700.81,113821.76,227643.51,283235.54,1530.61,281704.93,571.43,64660.7,216472.79,0.19018577441218026
2024-02-01,2024,2,Northeast US,Enterprise,Direct Sales,0.78,0.8783,0.9937,1.0033,0.1373,0.4773,0,38731.0,38.12,1476520.93,668794.71,807726.22,147652.09,295304.19,364769.94,1530.61,363239.33,571.43,83413.62,279254.29,0.18912992313627414
2024-02-01,2024,2,Northeast US,Pro Plan,Direct Sales,0.78,0.8783,0.9937,1.0033,0.1994,0.4944,0,24784.0,59.42,1472683.51,667056.54,805626.98,147268.35,294536.7,363821.92,1530.61,362291.31,571.43,83195.57,278524.31,0.18912706505418805
2024-02-01,2024,2,Northeast US,Apparel,Direct Sales,0.78,0.8783,0.9937,1.0033,0.0643,0.4583,0,43471.0,43.33,1883416.63,853099.37,1030317.26,188341.66,376683.33,465292.27,1530.61,463761.66,571.43,106533.75,356656.48,0.18936674675108928
2024-02-01,2024,2,Northeast US,Footwear,Direct Sales,0.78,0.8783,0.9937,1.0033,0.1055,0.4688,0,34487.0,64.38,2220173.62,1005634.49,1214539.14,222017.36,444034.72,548487.05,1530.61,546956.44,571.43,125668.55,420716.46,0.18949709888004165
2024-02-01,2024,2,Northeast US,Accessories,Direct Sales,0.78,0.8783,0.9937,1.0033,0.238,0.5056,0,18238.0,35.81,653167.58,295854.27,357313.31,65316.76,130633.52,161363.04,1530.61,159832.42,571.43,36630.03,122630.97,0.18774809674417706
2024-02-01,2024,2,Northeast US,Home & Living,Direct Sales,0.78,0.8783,0.9937,1.0033,0.1911,0.4921,0,22218.0,39.08,868313.39,393305.23,475008.16,86831.34,173662.68,214514.15,1530.61,212983.53,571.43,48854.78,163557.32,0.18836208433915777
2024-02-01,2024,2,Northeast US,Beauty & Health,Direct Sales,0.78,0.8783,0.9937,1.0033,0.1679,0.4856,0,21552.0,53.71,1157639.43,524356.35,633283.08,115763.94,231527.89,285991.25,1530.61,284460.64,571.43,65294.52,218594.69,0.18882795828749546
2024-02-01,2024,2,Southeast US,Enterprise,Direct Sales,0.78,0.8783,0.9669,1.0033,0.1923,0.4981,0,40419.0,37.23,1504786.14,684736.53,820049.62,150478.61,300957.23,368613.77,1530.61,367083.16,571.43,84297.7,282214.03,0.1875442778865574
2024-02-01,2024,2,Southeast US,Pro Plan,Direct Sales,0.78,0.8783,0.9669,1.0033,0.1329,0.4815,0,24138.0,60.3,1455499.32,662309.1,793190.22,145549.93,291099.86,356540.43,1530.61,355009.82,571.43,81520.83,272917.56,0.18750785812802714
2024-02-01,2024,2,Southeast US,Apparel,Direct Sales,0.78,0.8783,0.9669,1.0033,0.1894,0.4972,0,47169.0,41.4,1953015.77,888698.53,1064317.23,195301.58,390603.15,478412.5,1530.61,476881.89,571.43,109551.41,366759.06,0.18779114108228628
2024-02-01,2024,2,Southeast US,Footwear,Direct Sales,0.78,0.8783,0.9669,1.0033,0.1621,0.4896,0,36011.0,62.85,2263247.35,1029866.03,1233381.32,226324.73,452649.47,554407.11,1530.61,552876.5,571.43,127030.17,425274.91,0.18790474227220455
2024-02-01,2024,2,Southeast US,Accessories,Direct Sales,0.78,0.8783,0.9669,1.0033,0.0675,0.4643,0,16751.0,37.55,628931.92,286188.61,342743.3,62893.19,125786.38,154063.73,1530.61,152533.12,571.43,34951.19,117010.5,0.18604636889792459
2024-02-01,2024,2,Southeast US,Home & Living,Direct Sales,0.78,0.8783,0.9669,1.0033,0.4136,0.5681,0,25649.0,36.08,925530.68,421152.64,504378.03,92553.07,185106.14,226718.83,1530.61,225188.22,571.43,51661.86,172954.93,0.1868710932413391
2024-02-01,2024,2,Southeast US,Beauty & Health,Direct Sales,0.78,0.8783,0.9669,1.0033,0.5348,0.6131,0,27212.0,47.19,1284061.22,584298.06,699763.16,128406.12,256812.24,314544.8,1530.61,313014.18,571.43,71861.83,240580.92,0.1873593846249792
2024-02-01,2024,2,Midwest US,Enterprise,Direct Sales,0.78,0.8783,0.9877,1.0033,0.0427,0.454,0,36842.0,39.2,1444061.87,652165.43,791896.44,144406.19,288812.37,358677.88,1530.61,357147.27,571.43,82012.44,274563.4,0.19013271225006448
2024-02-01,2024,2,Midwest US,Pro Plan,Direct Sales,0.78,0.8783,0.9877,1.0033,0.2313,0.5049,0,25307.0,58.74,1486407.52,671289.52,815118.0,148640.75,297281.5,369195.75,1530.61,367665.13,571.43,84431.55,282662.15,0.19016463937157693
2024-02-01,2024,2,Midwest US,Apparel,Direct Sales,0.78,0.8783,0.9877,1.0033,0.371,0.5485,0,52032.0,39.21,2040075.98,921336.58,1118739.4,204007.6,408015.2,506716.61,1530.61,505186.0,571.43,116061.35,388553.22,0.19046017099814094
2024-02-01,2024,2,Midwest US,Footwear,Direct Sales,0.78,0.8783,0.9877,1.0033,0.2487,0.51,0,37514.0,61.44,2304748.56,1040867.68,1263880.88,230474.86,460949.71,572456.31,1530.61,570925.7,571.43,131181.48,439172.79,0.19055128078700262
2024-02-01,2024,2,Midwest US,Accessories,Direct Sales,0.78,0.8783,0.9877,1.0033,0.3405,0.5385,0,19425.0,34.58,671735.9,303368.53,368367.37,67173.59,134347.18,166846.6,1530.61,165315.99,571.43,37891.25,126853.31,0.18884402337287615
2024-02-01,2024,2,Midwest US,Home & Living,Direct Sales,0.78,0.8783,0.9877,1.0033,0.1606,0.4848,0,21889.0,39.41,862564.46,389550.29,473014.17,86256.45,172512.89,214244.83,1530.61,212714.22,571.43,48792.84,163349.95,0.18937709304647216
2024-02-01,2024,2,Midwest US,Beauty & Health,Direct Sales,0.78,0.8783,0.9877,1.0033,0.0532,0.4566,0,20264.0,55.58,1126374.25,508691.74,617682.51,112637.42,225274.85,279770.24,1530.61,278239.62,571.43,63863.68,213804.51,0.18981658183325836
2024-02-01,2024,2,West US,Enterprise,Direct Sales,0.78,0.8783,0.9822,1.0033,0.0233,0.4513,0,36621.0,39.33,1440218.46,651932.11,788286.34,144021.85,288043.69,356220.81,1530.61,354690.19,571.43,81447.32,272671.45,0.18932645121074204
2024-02-01,2024,2,West US,Pro Plan,Direct Sales,0.78,0.8783,0.9822,1.0033,0.2232,0.5048,0,25303.0,58.74,1486309.74,672795.88,813513.86,148630.97,297261.95,367620.94,1530.61,366090.32,571.43,84069.35,281449.55,0.18936130365397458
2024-02-01,2024,2,West US,Apparel,Direct Sales,0.78,0.8783,0.9822,1.0033,0.1655,0.4884,0,46328.0,41.82,1937461.96,877015.33,1060446.63,193746.2,387492.39,479208.04,1530.61,477677.43,571.43,109734.38,367371.62,0.1896148815226287
2024-02-01,2024,2,West US,Footwear,Direct Sales,0.78,0.8783,0.9822,1.0033,0.2064,0.4999,0,36773.0,62.12,2284393.27,1034057.94,1250335.33,228439.33,456878.65,565017.35,1530.61,563486.74,571.43,129470.52,433444.79,0.1897417558054704
2024-02-01,2024,2,West US,Accessories,Direct Sales,0.78,0.8783,0.9822,1.0033,0.2127,0.5017,0,18099.0,35.97,650948.18,294659.48,356288.7,65094.82,130189.64,161004.25,1530.61,159473.63,571.43,36547.51,122354.7,0.1879638099610325
2024-02-01,2024,2,West US,Home & Living,Direct Sales,0.78,0.8783,0.9822,1.0033,0.076,0.4645,0,20972.0,40.35,846320.1,383096.92,463223.19,84632.01,169264.02,209327.15,1530.61,207796.54,571.43,47661.78,159563.34,0.18853781211151668
2024-02-01,2024,2,West US,Beauty & Health,Direct Sales,0.78,0.8783,0.9822,1.0033,0.168,0.4891,0,21705.0,53.5,1161297.76,525675.32,635622.44,116129.78,232259.55,287233.11,1530.61,285702.5,571.43,65580.15,219550.92,0.1890565258646499
2024-02-01,2024,2,International,Enterprise,Direct Sales,0.78,0.8783,0.8773,1.0033,0.3013,0.5269,0,42761.0,36.08,1542924.03,695980.44,846943.59,154292.4,308584.81,384066.38,1530.61,382535.77,571.43,87851.8,294112.54,0.19062023423149355
2024-02-01,2024,2,International,Pro Plan,Direct Sales,0.78,0.8783,0.8773,1.0033,0.3649,0.5474,0,27439.0,56.15,1540816.12,695029.61,845786.51,154081.61,308163.22,383541.68,1530.61,382011.06,571.43,87731.12,293708.52,0.1906188001200299
2024-02-01,2024,2,International,Apparel,Direct Sales,0.78,0.8783,0.8773,1.0033,0.1982,0.4961,0,47063.0,41.46,1951065.08,880084.25,1070980.83,195106.51,390213.02,485661.31,1530.61,484130.7,571.43,111218.63,372340.64,0.1908396822929146
2024-02-01,2024,2,International,Footwear,Direct Sales,0.78,0.8783,0.8773,1.0033,0.3672,0.5482,0,40321.0,59.02,2379863.34,1073506.09,1306357.25,237986.33,475972.67,592398.25,1530.61,590867.64,571.43,135768.13,454528.08,0.19098915150312792
2024-02-01,2024,2,International,Accessories,Direct Sales,0.78,0.8783,0.8773,1.0033,0.1181,0.4741,0,17103.0,37.12,634769.21,286330.98,348438.23,63476.92,126953.84,158007.46,1530.61,156476.85,571.43,35858.25,120047.18,0.18911941239241897
2024-02-01,2024,2,International,Home & Living,Direct Sales,0.78,0.8783,0.8773,1.0033,0.0632,0.4599,0,20763.0,40.58,842564.36,380062.99,462501.37,84256.44,168512.87,209732.06,1530.61,208201.45,571.43,47754.91,159875.12,0.18974825851879137
2024-02-01,2024,2,International,Beauty & Health,Direct Sales,0.78,0.8783,0.8773,1.0033,0.037,0.4533,0,20119.0,55.81,1122770.27,506457.95,616312.32,112277.03,224554.05,279481.23,1530.61,277950.62,571.43,63797.21,213581.98,0.19022767676240662
2024-03-01,2024,3,North America,Enterprise,Direct Sales,0.85,1.0213,0.9961,1.005,0.2024,0.5729,0,46494.0,37.32,1735106.96,784356.02,950750.94,173510.7,347021.39,430218.85,1530.61,428688.24,571.43,98466.87,329649.94,0.18998825294320762
2024-03-01,2024,3,North America,Pro Plan,Direct Sales,0.85,1.0213,0.9961,1.005,0.1145,0.5451,0,27323.0,60.99,1666304.9,753254.02,913050.89,166630.49,333260.98,413159.41,1530.61,411628.8,571.43,94543.2,316514.18,0.1899497384902367
2024-03-01,2024,3,North America,Apparel,Direct Sales,0.85,1.0213,0.9961,1.005,0.1709,0.5627,0,53376.0,41.88,2235592.55,1010600.8,1224991.75,223559.26,447118.51,554313.99,1530.61,552783.37,571.43,127008.75,425203.2,0.1901970911470429
2024-03-01,2024,3,North America,Footwear,Direct Sales,0.85,1.0213,0.9961,1.005,0.0888,0.5373,0,39524.0,64.66,2555768.01,1155336.29,1400431.72,255576.8,511153.6,633701.32,1530.61,632170.71,571.43,145267.83,486331.44,0.19028778750540823
2024-03-01,2024,3,North America,Accessories,Direct Sales,0.85,1.0213,0.9961,1.005,0.0551,0.5274,0,19026.0,37.9,721129.93,325987.17,395142.76,72112.99,144225.99,178803.78,1530.61,177273.17,571.43,40641.4,136060.34,0.18867659535362785
